"Beer","Origin","Style","ABV","Ratings","rating","reviews","state","region"
"Cigar City Hunahpu's Imperial Stout","FL, USA","Imperial Stout","11%","3.989 (6)",3.989,6,"FL","florida"
"Dogfish Head Immort Ale","DE, USA","American Barleywine","11%","3.988 (62)",3.988,62,"DE","delaware"
"Dogwood Youngbloods Imperial Porter","GA, USA","Imperial Porter","8%","3.988 (22)",3.988,22,"GA","georgia"
"He'Brew Bittersweet Lennys R.I.P.A.","CA, USA","Imperial IPA","10%","3.987 (45)",3.987,45,"CA","california"
"Sierra Nevada Bigfoot Ale","CA, USA","American Barleywine","9.60%","3.986 (122)",3.986,122,"CA","california"
"Stone 10th Anniversary IPA","CA, USA","Imperial IPA","10%","3.986 (25)",3.986,25,"CA","california"
"Sierra Nevada 30th Anniversary Fritz & Ken Ale","CA, USA","Imperial Stout","9.20%","3.985 (23)",3.985,23,"CA","california"
"Firestone Walker 14","CA, USA","Strong Ale","12.50%","3.985 (10)",3.985,10,"CA","california"
"Great Divide Espresso Oak Aged Yeti Imperial Stout","CO, USA","Imperial Stout","9.50%","3.981 (33)",3.981,33,"CO","colorado"
"AleSmith Yulesmith - Winter","CA, USA","Strong Ale","9.50%","3.981 (18)",3.981,18,"CA","california"
"Boulevard Imperial Stout","MO, USA","Imperial Stout","-","3.981 (13)",3.981,13,"MO","missouri"
"Firestone Walker Double Jack","CA, USA","Imperial IPA","9.50%","3.978 (21)",3.978,21,"CA","california"
"Hoppin' Frog DORIS The Destroyer Double Imperial Stout","OH, USA","Imperial Stout","10.50%","3.977 (10)",3.977,10,"OH","ohio"
"Stone Enjoy By IPA","CA, USA","Imperial IPA","9.40%","3.976 (18)",3.976,18,"CA","california"
"Stone Bourbon Barrel Russian Imperial Stout","CA, USA","Imperial Stout","10%","3.975 (5)",3.975,5,"CA","california"
"Great Lakes Edmund Fitzgerald Porter","OH, USA","Porter","5.80%","3.974 (78)",3.974,78,"OH","ohio"
"Great Divide Old Ruffian Barley Wine","CO, USA","American Barleywine","10.27%","3.974 (56)",3.974,56,"CO","colorado"
"New Belgium Lips of Faith Le Terroir","CO, USA","Wild Ale","7.50%","3.970 (7)",3.97,7,"CO","colorado"
"Pizza Port Frank Double IPA","CA, USA","Imperial IPA","9.50%","3.969 (13)",3.969,13,"CA","california"
"Alchemist Heady Topper","VT, USA","Imperial IPA","8%","3.969 (11)",3.969,11,"VT","vermont"
"Russian River Blind Pig IPA","CA, USA","IPA","6%","3.968 (25)",3.968,25,"CA","california"
"Ommegang Abbey Ale","NY, USA","Belgian Strong Ale","8.50%","3.965 (91)",3.965,91,"NY","new york"
"New Glarus Unplugged Iced Barley Wine","WI, USA","American Barleywine","13.50%","3.965 (15)",3.965,15,"WI","wisconsin"
"Foothills Sexual Chocolate Imperial Stout","NC, USA","Imperial Stout","10%","3.965 (14)",3.965,14,"NC","north carolina"
"Lost Abbey Red Poppy Ale","CA, USA","Flanders Red","5.50%","3.960 (12)",3.96,12,"CA","california"
"Avery Mephistopheles Stout","CO, USA","Imperial Stout","16%","3.956 (40)",3.956,40,"CO","colorado"
"Alpine Beer Company Exponential Hoppiness","CA, USA","Imperial IPA","10.75%","3.956 (15)",3.956,15,"CA","california"
"Deschutes Black Butte XXIV","OR, USA","Imperial Porter","10.80%","3.956 (6)",3.956,6,"OR","oregon"
"Alaskan Smoked Porter","AK, USA","Smoked Ale","6.20%","3.952 (61)",3.952,61,"AK","alaska"
"Port Brewing Hop 15","CA, USA","Imperial IPA","9.70%","3.952 (26)",3.952,26,"CA","california"
"Lagunitas Sucks Holiday Ale","CA, USA","Strong Ale","7.60%","3.952 (20)",3.952,20,"CA","california"
"Anchor Porter","CA, USA","Porter","5.60%","3.951 (111)",3.951,111,"CA","california"
"Three Floyds Alpha Klaus Christmas Porter","IN, USA","Porter","7.50%","3.951 (38)",3.951,38,"IN","indiana"
"Southern Tier Imperial Mokah","NY, USA","Imperial Stout","11%","3.950 (27)",3.95,27,"NY","new york"
"Goose Island Bourbon County Coffee Stout","IL, USA","Imperial Stout","13%","3.950 (7)",3.95,7,"IL","illinois"
"Three Floyds Behemoth Barleywine","IN, USA","American Barleywine","11.30%","3.947 (29)",3.947,29,"IN","indiana"
"Allagash Interlude","ME, USA","Saison","9.50%","3.946 (21)",3.946,21,"ME","maine"
"Avery The Maharaja Imperial IPA","CO, USA","Imperial IPA","9.90%","3.945 (50)",3.945,50,"CO","colorado"
"Stoudts Fat Dog Stout (Vintages 2004 and later)","PA, USA","Imperial Stout","9%","3.945 (39)",3.945,39,"PA","pennsylvania"
"Southern Tier Jah-va Imperial Coffee Stout","NY, USA","Imperial Stout","12%","3.943 (28)",3.943,28,"NY","new york"
"Sierra Nevada Narwhal Imperial Stout","CA, USA","Imperial Stout","10.20%","3.943 (18)",3.943,18,"CA","california"
"Town Hall Masala Mama IPA","MN, USA","IPA","6%","3.943 (11)",3.943,11,"MN","minnesota"
"Central Waters Brewer's Reserve Bourbon Barrel Barleywine","WI, USA","American Barleywine","-","3.943 (11)",3.943,11,"WI","wisconsin"
"Samuel Adams Utopias","MA, USA","English Barleywine","25%","3.942 (23)",3.942,23,"MA","massachusetts"
"Stone Arrogant Bastard Ale","CA, USA","Strong Ale","7.20%","3.941 (147)",3.941,147,"CA","california"
"Deschutes Black Butte XX","OR, USA","Imperial Porter","11%","3.941 (14)",3.941,14,"OR","oregon"
"Fish Tale Poseidons Imperial Stout","WA, USA","Imperial Stout","10%","3.940 (17)",3.94,17,"WA","washington"
"Iron Hill Russian Imperial Stout","DE, USA","Imperial Stout","9.50%","3.940 (13)",3.94,13,"DE","delaware"
"Great Divide Belgian Style Yeti","CO, USA","Imperial Stout","9.50%","3.940 (12)",3.94,12,"CO","colorado"
"AleSmith Grand Cru","CA, USA","Belgian Strong Ale","10.50%","3.938 (36)",3.938,36,"CA","california"
"Firestone Walker Wookey Jack Black IPA","CA, USA","American Black Ale","8.20%","3.938 (18)",3.938,18,"CA","california"
"Boulevard Saison Brett","MO, USA","Saison","8.50%","3.935 (17)",3.935,17,"MO","missouri"
"Great Lakes Blackout Stout","OH, USA","Imperial Stout","9%","3.933 (47)",3.933,47,"OH","ohio"
"Port Brewing Old Viscosity","CA, USA","Strong Ale","10.50%","3.932 (34)",3.932,34,"CA","california"
"Stone Sublimely Self-Righteous Ale","CA, USA","American Black Ale","8.70%","3.931 (48)",3.931,48,"CA","california"
"Cigar City Marshal Zhukovs Russian Imperial Stout","FL, USA","Imperial Stout","11%","3.931 (10)",3.931,10,"FL","florida"
"Samuel Adams Millennium","MA, USA","Strong Ale","20%","3.930 (8)",3.93,8,"MA","massachusetts"
"Kuhnhenn Raspberry Eisbock","MI, USA","Fruit Beer","18%","3.928 (16)",3.928,16,"MI","michigan"
"Lost Abbey Deliverance","CA, USA","Strong Ale","12.50%","3.927 (8)",3.927,8,"CA","california"
"Three Floyds Zombie Dust","IN, USA","American Pale Ale","6.20%","3.926 (16)",3.926,16,"IN","indiana"
"Stone 09.09.09 Vertical Epic Ale","CA, USA","Belgian Strong Ale","8.70%","3.925 (21)",3.925,21,"CA","california"
"Boulevard Bourbon Barrel Quad","MO, USA","Abbey Quadrupel","11.80%","3.925 (17)",3.925,17,"MO","missouri"
"Lost Abbey Serpents Stout","CA, USA","Imperial Stout","11%","3.923 (19)",3.923,19,"CA","california"
"Ballast Point Sculpin IPA","CA, USA","IPA","7%","3.921 (30)",3.921,30,"CA","california"
"Dogfish Head Palo Santo Marron","DE, USA","Strong Ale","12%","3.919 (52)",3.919,52,"DE","delaware"
"AleSmith Decadence 2006 (Imperial Evil Dead Red Ale)","CA, USA","Strong Ale","9.90%","3.919 (13)",3.919,13,"CA","california"
"Bear Republic Racer X","CA, USA","Imperial IPA","9%","3.919 (13)",3.919,13,"CA","california"
"Stone 12.12.12 Vertical Epic Ale","CA, USA","Belgian Strong Ale","9%","3.919 (13)",3.919,13,"CA","california"
"Rogue Hazelnut Brown Nectar","OR, USA","Brown Ale","6.22%","3.916 (106)",3.916,106,"OR","oregon"
"Hair of the Dog Doggie Claws","OR, USA","American Barleywine","11.50%","3.915 (30)",3.915,30,"OR","oregon"
"Fish Tale Leviathan Barleywine","WA, USA","American Barleywine","10%","3.912 (22)",3.912,22,"WA","washington"
"Dogfish Head Olde School Barleywine","DE, USA","American Barleywine","15%","3.910 (37)",3.91,37,"DE","delaware"
"Hair of the Dog Matt Commemorative Ale","OR, USA","Strong Ale","11.50%","3.910 (7)",3.91,7,"OR","oregon"
"Lagunitas Hop Stoopid Ale","CA, USA","Imperial IPA","8%","3.909 (44)",3.909,44,"CA","california"
"MacTarnahans Bourbon Cask Aged Blackwatch Cream Po","OR, USA","Porter","6%","3.909 (8)",3.909,8,"OR","oregon"
"Deschutes Black Butte XXI","OR, USA","Imperial Porter","11%","3.908 (10)",3.908,10,"OR","oregon"
"Central Waters Peruvian Morning Imperial Stout","WI, USA","Imperial Stout","8%","3.908 (10)",3.908,10,"WI","wisconsin"
"Fat Heads Head Hunter IPA","OH, USA","IPA","7.50%","3.907 (12)",3.907,12,"OH","ohio"
"Weyerbacher Double Simcoe IPA","PA, USA","Imperial IPA","9%","3.905 (40)",3.905,40,"PA","pennsylvania"
"Troutbrook Thomas Hooker Liberator","CT, USA","Doppelbock","8%","3.905 (16)",3.905,16,"CT","connecticut"
"Full Sail Top Sail Imperial Porter","OR, USA","Imperial Porter","7.50%","3.904 (20)",3.904,20,"OR","oregon"
"Ommegang Hennepin","NY, USA","Saison","7.50%","3.900 (103)",3.9,103,"NY","new york"
"Flying Dog Wild Dog Double Pale Ale","MD, USA","Strong Ale","11.50%","3.900 (54)",3.9,54,"MD","maryland"
"Hair of the Dog Fred from the Wood","OR, USA","English Barleywine","10%","3.900 (13)",3.9,13,"OR","oregon"
"Deschutes Conflux No. 1 - Collage","OR, USA","Strong Ale","11.50%","3.900 (7)",3.9,7,"OR","oregon"
"Midnight Sun Berserker Imperial Stout","AK, USA","Imperial Stout","10.40%","3.900 (7)",3.9,7,"AK","alaska"
"Lagunitas B3K","CA, USA","Strong Ale","11.30%","3.900 (6)",3.9,6,"CA","california"
"Hoppin' Frog Barrel Aged Naked Evil","OH, USA","English Barleywine","11.30%","3.900 (6)",3.9,6,"OH","ohio"
"Oggi's Hop Whompus","CA, USA","Imperial IPA","9%","3.900 (6)",3.9,6,"CA","california"
"New Glarus R & D Bourbon Barrel Kriek","WI, USA","Fruit Beer","5.50%","3.900 (5)",3.9,5,"WI","wisconsin"
"Avery Uncle Jacobs Stout","CO, USA","Imperial Stout","17.42%","3.900 (4)",3.9,4,"CO","colorado"
"Alpine Beer Company Pure Hoppiness","CA, USA","Imperial IPA","8%","3.896 (24)",3.896,24,"CA","california"
"Full Sail Bourbon Barrel Aged Black Gold Imperial Stout","OR, USA","Imperial Stout","10.50%","3.895 (18)",3.895,18,"OR","oregon"
"Deschutes Mirror Mirror Barleywine","OR, USA","American Barleywine","11%","3.894 (14)",3.894,14,"OR","oregon"
"Sierra Nevada 30th Anniversary Our Brewers Reserve - Grand Cru","CA, USA","Strong Ale","9.20%","3.892 (10)",3.892,10,"CA","california"
"AleSmith Barrel Aged Wee Heavy","CA, USA","Scottish Ale","10%","3.892 (10)",3.892,10,"CA","california"
"Goose Island Night Stalker","IL, USA","Imperial Stout","11.70%","3.892 (9)",3.892,9,"IL","illinois"
"North Coast Old Stock Cellar Reserve Bourbon Barrel","CA, USA","English Barleywine","14.60%","3.892 (9)",3.892,9,"CA","california"
"Anchor Our Special Ale 2004","CA, USA","Spiced Beer","5.50%","3.891 (32)",3.891,32,"CA","california"
"Drake's Barley Wine Brandy Barrel","CA, USA","English Barleywine","14.70%","3.890 (7)",3.89,7,"CA","california"
"North Coast Old Stock Cellar Reserve Brandy Barrel","CA, USA","English Barleywine","14.70%","3.890 (7)",3.89,7,"CA","california"
"Oskar Blues G'Knight","CO, USA","Strong Ale","8.70%","3.886 (47)",3.886,47,"CO","colorado"
"Southern Tier Imperial Crème Brûlée Stout","NY, USA","Imperial Stout","10%","3.885 (30)",3.885,30,"NY","new york"
"Lagunitas Little Sumpin Sumpin Ale","CA, USA","IPA","7.30%","3.882 (31)",3.882,31,"CA","california"
"Russian River Beatification (Batch 002)","CA, USA","Wild Ale","6%","3.882 (8)",3.882,8,"CA","california"
"Sierra Nevada Harvest Fresh Hop IPA - Southern Hemisphere Harvest®","CA, USA","IPA","6.70%","3.880 (54)",3.88,54,"CA","california"
"Southampton Abbot 12","NY, USA","Abbey Quadrupel","10%","3.880 (17)",3.88,17,"NY","new york"
"Flying Dog Gonzo Imperial Porter","MD, USA","Imperial Porter","9.50%","3.878 (79)",3.878,79,"MD","maryland"
"Southampton Imperial Russian Stout","NY, USA","Imperial Stout","9.50%","3.877 (10)",3.877,10,"NY","new york"
"Midnight Sun La Mâitresse du Moine","AK, USA","Belgian Strong Ale","9%","3.876 (14)",3.876,14,"AK","alaska"
"Schlafly Reserve Bourbon Barrel-Aged Imperial Stout","MO, USA","Imperial Stout","10.50%","3.876 (14)",3.876,14,"MO","missouri"
"Terrapin Wake-n-Bake Coffee Oatmeal Imperial Stout","GA, USA","Imperial Stout","8.60%","3.875 (37)",3.875,37,"GA","georgia"
"Deschutes Obsidian Stout","OR, USA","Stout","6.70%","3.874 (44)",3.874,44,"OR","oregon"
"Lost Abbey The Angels Share (Bourbon Barrel)","CA, USA","English Barleywine","12.50%","3.873 (12)",3.873,12,"CA","california"
"Old Dominion Oak Barrel Stout","DE, USA","Stout","5.20%","3.871 (42)",3.871,42,"DE","delaware"
"Great Divide Fresh Hop Pale Ale","CO, USA","American Pale Ale","6.10%","3.871 (38)",3.871,38,"CO","colorado"
"The Duck-Rabbit Baltic Porter","NC, USA","Baltic Porter","9%","3.871 (14)",3.871,14,"NC","north carolina"
"Firestone Walker 16","CA, USA","Strong Ale","13%","3.871 (4)",3.871,4,"CA","california"
"Lost Abbey Isabelle Proximus","CA, USA","Wild Ale","7%","3.870 (7)",3.87,7,"CA","california"
"Stone Smoked Porter","CA, USA","Smoked Ale","5.90%","3.869 (94)",3.869,94,"CA","california"
"New Belgium Abbey Grand Cru","CO, USA","Abbey Dubbel","9.40%","3.868 (19)",3.868,19,"CO","colorado"
"Rogue Imperial Stout","OR, USA","Imperial Stout","10.50%","3.867 (47)",3.867,47,"OR","oregon"
"Victory DirtWolf","PA, USA","Imperial IPA","8.70%","3.867 (12)",3.867,12,"PA","pennsylvania"
"Goose Island Bourbon County Vanilla Stout","IL, USA","Imperial Stout","13%","3.867 (6)",3.867,6,"IL","illinois"
"Great Lakes Barrel Aged Blackout Stout","OH, USA","Imperial Stout","9%","3.865 (17)",3.865,17,"OH","ohio"
"Stone Smoked Porter (Vanilla Beans)","CA, USA","Porter","5.90%","3.864 (11)",3.864,11,"CA","california"
"Green Flash Double Stout","CA, USA","Imperial Stout","8.80%","3.863 (27)",3.863,27,"CA","california"
"Oggi's Witch Doctor","CA, USA","Imperial Stout","9.20%","3.860 (7)",3.86,7,"CA","california"
"Jolly Pumpkin Oro de Calabaza","MI, USA","Biere de Garde","8%","3.859 (41)",3.859,41,"MI","michigan"
"Hoppin' Frog Barrel Aged BORIS The Crusher","OH, USA","Imperial Stout","9.40%","3.859 (14)",3.859,14,"OH","ohio"
"Marin Eldridge Grade White Knuckle Double IPA","CA, USA","Imperial IPA","8%","3.858 (16)",3.858,16,"CA","california"
"Founders Porter","MI, USA","Porter","6.50%","3.857 (32)",3.857,32,"MI","michigan"
"Stone Sawyer's Triple","CA, USA","Abbey Tripel","7.60%","3.857 (11)",3.857,11,"CA","california"
"Sierra Nevada Barrel Aged Narwhal","CA, USA","Imperial Stout","12.90%","3.857 (4)",3.857,4,"CA","california"
"Uinta Crooked Line Sea Legs Baltic Porter","UT, USA","Baltic Porter","8%","3.856 (6)",3.856,6,"UT","utah"
"The Brew Kettle White Rajah","OH, USA","IPA","7%","3.855 (8)",3.855,8,"OH","ohio"
"Terrapin Big Hoppy Monster","GA, USA","Imperial IPA","8.30%","3.854 (34)",3.854,34,"GA","georgia"
"Allagash Curieux","ME, USA","Belgian Strong Ale","9.80%","3.853 (32)",3.853,32,"ME","maine"
"Pizza Port Mo Betta Bretta","CA, USA","Belgian Ale","6.30%","3.853 (12)",3.853,12,"CA","california"
"Stone 06.06.06 Vertical Epic Ale","CA, USA","Abbey Dubbel","8.66%","3.852 (24)",3.852,24,"CA","california"
"Heavyweight Perkunos Hammer","NJ, USA","Baltic Porter","8.30%","3.852 (20)",3.852,20,"NJ","new jersey"
"Arcadia London Porter","MI, USA","Smoked Ale","7.20%","3.850 (19)",3.85,19,"MI","michigan"
"Ale Asylum Mercy Belgian Grand Cru","WI, USA","Belgian Strong Ale","9.50%","3.850 (9)",3.85,9,"WI","wisconsin"
"AleSmith The Shit Speedway Stout","CA, USA","Imperial Stout","12%","3.850 (3)",3.85,3,"CA","california"
"North Coast Old Rasputin XV","CA, USA","Imperial Stout","11.90%","3.850 (3)",3.85,3,"CA","california"
"Smuttynose Robust Porter","NH, USA","Porter","5.70%","3.846 (43)",3.846,43,"NH","new hampshire"
"Pizza Port SPF 8 Farmhouse Ale","CA, USA","Saison","8.75%","3.846 (10)",3.846,10,"CA","california"
"Dogfish Head Burton Baton","DE, USA","Imperial IPA","10%","3.845 (49)",3.845,49,"DE","delaware"
"Goose Island Lolita","IL, USA","Wild Ale","7%","3.845 (8)",3.845,8,"IL","illinois"
"Midnight Sun Arctic Devil Barley Wine","AK, USA","English Barleywine","11.50%","3.845 (8)",3.845,8,"AK","alaska"
"Bells Special Double Cream Stout","MI, USA","Stout","6.10%","3.844 (61)",3.844,61,"MI","michigan"
"Founders Reds Rye","MI, USA","Rye Beer","6.60%","3.844 (43)",3.844,43,"MI","michigan"
"Goose Island Sofie","IL, USA","Saison","6.50%","3.844 (24)",3.844,24,"IL","illinois"
"Bells Batch 6000","MI, USA","American Barleywine","10.50%","3.844 (15)",3.844,15,"MI","michigan"
"Port Brewing Santas Little Helper","CA, USA","Imperial Stout","10.50%","3.842 (30)",3.842,30,"CA","california"
"Ramstein Winter Wheat","NJ, USA","Weizenbock","9.50%","3.842 (16)",3.842,16,"NJ","new jersey"
"North Coast Old Stock Ale","CA, USA","English Barleywine","13.25%","3.841 (70)",3.841,70,"CA","california"
